run,epoch,lr,bs,loss,cw,balance,arch,seed,eval_loss,macro_f1,accuracy,r_supp,r_neut,r_opp,cm
lr2e5_effnum,1.0,2e-05,32,weighted,effnum,none,full,42,0.700737714767456,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr2e5_effnum,2.0,2e-05,32,weighted,effnum,none,full,42,0.7054787278175354,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr2e5_effnum,3.0,2e-05,32,weighted,effnum,none,full,42,0.7042128443717957,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr2e5_effnum,4.0,2e-05,32,weighted,effnum,none,full,42,0.7051204442977905,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr2e5_effnum,5.0,2e-05,32,weighted,effnum,none,full,42,0.7009789943695068,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
lr2e5_effnum,5.0,2e-05,32,weighted,effnum,none,full,42,0.700737714767456,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
w414,1.0,2e-05,32,weighted,"4,1,4",none,full,42,0.9853512644767761,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
w414,2.0,2e-05,32,weighted,"4,1,4",none,full,42,1.0030303001403809,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
w414,3.0,2e-05,32,weighted,"4,1,4",none,full,42,1.0031849145889282,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
w414,4.0,2e-05,32,weighted,"4,1,4",none,full,42,0.9978525638580322,0.29949853017464984,0.8156985871271586,0.0,1.0,0.0,"[[0, 302, 0], [0, 2598, 0], [0, 285, 0]]"
